id,title,price,page
000000000000180990,"Svogūnai, 1 kg",0.45,1
000000000000181721,"Obuoliai JONAGOLD, 75-85 mm, 1 kg",0.89,1
000000000000181713,"Didžiosios kriaušės CONFERENCE, 70-80 mm, 1 kg",1.59,1
000000000000182313,"Mandarinai, 1-4 d., 1 kg",1.49,1
000000000000181257,"Pomidorai su šakelėmis, 67-82 mm, 1 kg",1.99,1
000000000000014767,"Pievagrybiai, 250 g",0.99,1
000000000001316999,"Ant kraiko laikomų vištų kiaušiniai WELL DONE, 10 vnt.",2.15,1
000000000001228341,"Švieži baltagūžiai kopūstai, 1 kg",0.29,1
000000000000182355,"Avokadas, 1 vnt.",0.69,1
000000000001033594,"Lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g",0.59,1
000000000001320734,"Liet. smulk. kiauliena ir jautiena, rieb. ne did. kaip 20 %, 400 g",2.29,1
000000000000182308,"Dideli raudonieji greipfrutai, 1-2 d., 1 kg",1.75,1
000000000001313027,"Šilauogės kibirėlyje, 400 g",4.99,1
000000000000534864,"ROKIŠKIO NAMINĖ grietinė, 30 % rieb., 400 g",1.79,1
000000000000981761,"GRŪDĖTA varškė , 7 % rieb., 350 g",1.99,1
000000000001268463,"Lapinės salotos vazonėlyje LOLLO BIONDO, 1 vnt.",1.19,1
000000000001253801,"Sušokantis kačių kraikas LOVETT, 5 l  ",1.99,1
000000000001037800,"Gazuotas natūralus mineralinis vanduo BIRUTĖ, 1,5 l",0.39,1
000000000001345597,"AGOTOS viso grūdo tamsi duona su raugu, 300 g",0.89,1
000000000000182416,"Granatai, 1 kg",1.99,1
000000000000894163,"Didelės kviečių tortilijos SANTA MARIA TEX MEX, 6 vnt., 371 g",3.39,1
000000000000058857,"Higieniniai paketai LIBRESSE ULTRA NORMAL, 20 vnt.",3.49,1
000000000000824147,"Geltonieji kiviai, 500 g",1.59,1
000000000001343205,"Tepamasis sūris WELL DONE, 57,5 %, 200 g, 200 g",1.49,1
000000000000857869,"Kvietinės ORIGINAL tortilijos SANTA MARIA, 320 g",2.99,1
000000000000456302,"Juoda AGOTOS duona, 800 g",1.59,1
000000000000438795,"Juoda ruginė raikyta AGOTOS duona, 375 g",1.09,1
