product_name,shelf_price,per_unit_price,image_url
"Lietuviškos bulvės 45+, 1 kg",0.59,0.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_2.0,f_auto,q_auto:low,w_250/d_ecommerce:backend-fallback.png/MAT_244686_KGM_LT"
"Svogūnai d.40-60mm, kg",0.85,0.85,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_2.0,f_auto,q_auto:low,w_250/d_ecommerce:backend-fallback.png/MAT_937069_KGM_LT"
"Cukinija, 1 vnt.",0.99,0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_2.0,f_auto,q_auto:low,w_250/d_ecommerce:backend-fallback.png/MAT_975517_PCE_LT"
"Brokolis RIMI, 350 g",1.89,5.4,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_978280_PCE_LT"
"Didelis avokadas SELECTION BY RIMI, 1 vnt",2.49,2.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_905518_PCE_LT"
"Sūris RIMI MOZZARELLA, 45% rieb., 125g",0.89,7.12,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_805802_PCE_LT"
"Geltonieji kiviai, 500 g",2.49,4.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_283380_PCE_LT"
"Pievagrybiai RIMI, 250 g",1.59,6.36,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297915_PCE_LT"
"Greitai užšaldyti žirneliai RIMI, 400 g",1.25,3.12,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808614_PCE_LT"
"Plauti špinatai FIT&EASY, 100g",1.29,12.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_988169_PCE_LT"
"Grūdėta varškė PIENO ŽVAIGŽDĖS, 7 %, 200 g",1.39,6.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_978782_PCE_LT"
