shop_name,title,price,image_small
Maxima,"Plautos morkos, 1 kg",0.29,https://cdn.barbora.lt/products/c19c320d-a3d6-4fa1-8454-6c5e09338908_s.png
Maxima,"Mandarinai, 1-4 d., 1 kg",1.49,https://cdn.barbora.lt/products/318e3764-9cee-437d-86d9-48cf1c4ebb08_s.png
Maxima,"Ilgavaisis agurkas, 220 g",0.95,https://cdn.barbora.lt/products/3285ca3f-1a09-4a0d-b3e2-568d35264d49_s.png
Maxima,"Persimonai, 1 kg",1.99,https://cdn.barbora.lt/products/718a24ba-4caa-43ea-936a-02da76dcd2d4_s.png
Maxima,"Avokadai READY TO EAT WELL DONE, 2 vnt., 2 vnt.",1.49,https://cdn.barbora.lt/products/66eadb2f-139f-416b-8c75-a6a126e3abd1_s.png
Maxima,"Didžiosios kriaušės CONFERENCE, 70-80 mm, 1 kg",1.69,https://cdn.barbora.lt/products/34f5c4d1-4936-43c7-b7dd-b2bd9f796f7f_s.png
Maxima,"Geltonieji kiviai, 500 g",1.59,https://cdn.barbora.lt/products/56d4519a-5173-4100-a5e8-3dd46e656b29_s.png
Maxima,"Česnakai, 1 kg",2.99,https://cdn.barbora.lt/products/322fc41a-d59e-4094-ba5a-6f2da3d4d8e6_s.png
Maxima,"Rauginti kopūstai LINKĖJIMAI IŠ KAIMO kibirėlyje, 800 g",1.69,https://cdn.barbora.lt/products/d3e1e289-be44-4adb-ac3b-96895be9e71c_s.png
Maxima,"Valgomasis graikiškas jogurtas ALMA, 4 % rieb., 370 g",1.39,https://cdn.barbora.lt/products/e460b71a-a692-4fe5-8749-935208ecf530_s.png
Maxima,"Žaliosios besėklės vynuogės, 500 g",2.19,https://cdn.barbora.lt/products/ed117a6d-d949-478f-9fa0-efdde131061f_s.png
Maxima,"Obuoliai CHAMPION, fasuoti, 65-75 mm, 1 kg",0.79,https://cdn.barbora.lt/products/f30d52e4-0e97-4c55-9608-6eefc4cb9d5a_s.png
Maxima,"Smulkiavaisiai pomidorai SUNSTREAM WELL DONE, 300 g",2.19,https://cdn.barbora.lt/products/6b2b84d1-32eb-4baa-91d4-1a2790fd552b_s.png
Maxima,"Majonezas HELLMANN'S ORIGINAL, 76 % rieb., 625 ml",2.99,https://cdn.barbora.lt/products/87877846-e3a8-4a5e-9ab4-2290dd0fcc7f_s.png
Maxima,"Dideli raudonieji greipfrutai, 1-2 d., 1 kg",1.39,https://cdn.barbora.lt/products/7bb9b9ec-ea7c-4c07-99ea-d3054fe9341d_s.png
Maxima,"Konservuoti kukurūzai BONDUELLE, 340 g",1.31,https://cdn.barbora.lt/products/496b9948-8493-41d0-90a4-8e80c2e86da6_s.png
Maxima,"Konservuoti žalieji žirneliai BONDUELLE, 660 g",1.55,https://cdn.barbora.lt/products/6b890346-7e34-46b9-89d3-65e9d9365923_s.png
Maxima,"Melionai HONEY DEW, 1 kg",1.49,https://cdn.barbora.lt/products/af78450e-be25-4c91-8337-ce81eca2854a_s.png
Maxima,"Žaliosios citrinos, 48-54 d., 1 kg",2.99,https://cdn.barbora.lt/products/04781508-8291-473e-b915-55407d2a0365_s.png
Maxima,"Varškės sūrelis MURR, sutirštinto pieno skonio, 28 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/845b75b5-3c5c-4b34-b84e-07bad16d1251_s.png
Maxima,"Glaistytas varškės sūrelis MURR, maskarponės sk., 28 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/47a25576-09e8-4230-a7a0-61dcff6cf329_s.png
Maxima,"Raudonosios vynuogės, 1 kg",2.39,https://cdn.barbora.lt/products/0a780151-a291-425b-9791-36be34ab0ffc_s.png
Maxima,"Didieji greipfrutai POMELO, 1 kg",0.69,https://cdn.barbora.lt/products/559431d8-0fe8-4ad7-be5c-85559f42bfe4_s.png
Maxima,"Imbierų šaknys, 1 kg",2.99,https://cdn.barbora.lt/products/7b13c6d7-627b-4320-92fe-0eedd5bf02ce_s.png
Maxima,"Šaldytos gruzdintos bulvytės FARM FRITES LONG & CRUNCHY, 600 g",2.79,https://cdn.barbora.lt/products/43e59162-682a-426f-85c1-0984be6fa1bc_s.png
Maxima,"Sausainiai SELGA CLASSIC, 180 g",1.15,https://cdn.barbora.lt/products/6c2546d5-156d-49db-8504-d846b4c7a8cd_s.png
Maxima,"Vytinta pjaustyta BERNŲ dešra, a. r., 90 g",1.91,https://cdn.barbora.lt/products/ec31e297-8719-4c72-8f19-390296610129_s.png
Maxima,"Tepamasis sūris WELL DONE, 57,5 %, 200 g, 200 g",1.49,https://cdn.barbora.lt/products/2d1542f6-ef21-4bb2-b74e-25f597fcd335_s.png
Maxima,"Gl. VILKYŠKIŲ sūrelis LESS SUGAR su sūria karam., 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/e8a146cd-6a14-4a41-89e6-b55302aaf39f_s.png
Maxima,"Šaldytas prancūziškas batonas WELL DONE su česnakais, 350 g",1.69,https://cdn.barbora.lt/products/852c76dc-ad25-44ef-a7dc-f539848223c9_s.png
Maxima,"Sumuštinių duona BEATOS VIRTUVĖ su sėklomis, 400 g",1.75,https://cdn.barbora.lt/products/42ae81d5-e5e4-4cfb-845a-f9114c273c16_s.png
Maxima,"Kūčiukai BEATOS VIRTUVĖ, 200 g",1.39,https://cdn.barbora.lt/products/eca46771-0952-4a56-a9ab-a2e0ddadb8d8_s.png
Maxima,"VILKYŠKIŲ varškės užtepėlė su žalumynais, 18 % rieb., 150 g",0.99,https://cdn.barbora.lt/products/2e98cc94-0b78-478a-88ab-3305921df723_s.png
Maxima,"Vytinta BERNŲ dešra, a. r., 200 g",3.89,https://cdn.barbora.lt/products/cac1b107-fa13-4ca9-b302-7b57df9f4723_s.png
Maxima,"Rikota GRANAROLO, 45 % rieb. s. m., 250 g",1.29,https://cdn.barbora.lt/products/b3dd18f8-9427-421a-ba80-ef891202aeda_s.png
Maxima,"Sausainiai SELGA, šokolado skonio, 180 g",1.15,https://cdn.barbora.lt/products/f86f9bd8-c278-4ab9-9ff1-f429f712b3af_s.png
Maxima,"PIENIŠKAS batonas LIETUVOS KEPĖJAS, 330 g",0.59,https://cdn.barbora.lt/products/30b919de-e9d4-46c2-adec-6f1f24662224_s.png
Maxima,"Kosmetiniai vatos diskeliai DIVUS, 120 vnt., 120 vnt.",1.15,https://cdn.barbora.lt/products/6b329bbf-bb5a-490c-9db8-e3f807bf8c71_s.png
Maxima,"Gl. VILKYŠKIŲ sūrelis LESS SUGAR, vanilės skonio, 30 % rieb., 40 g",0.65,https://cdn.barbora.lt/products/fb399119-eb2a-4b18-abd2-61f7f1ef7d2c_s.png
Maxima,"Kepimo popierius UNIWELL, 30 lapų, 30 vnt.",1.79,https://cdn.barbora.lt/products/842ffe80-530b-488c-8c82-3879db71c9a5_s.png
