shop_name,product_name,shelf_price,per_unit_price,image_url
IKI,"Atlantinių lašišų filė su oda, gali būti vakuumuota.",12.99 €,12.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_DJZ84mZKRGKCISZMOJ12.jpg?generation=1669028055454897&alt=media
IKI,"Sviestas ROKIŠKIO, 82% rieb., 200 g",1.69 €,8.45 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_e1JS9Z63W43z8fZ1NziD.jpg?generation=1631696111380104&alt=media
IKI,"Konservuoti RINKTINIAI žirneliai, 690 g",1.43 €,2.07 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_233656_uF3DptJQvjXHqmno4Mal_EQZtAxDc6SHcs80H4ca8.webp?alt=media&token=5ed31b95-43d0-43b1-bf8c-f2663fc92f6c
IKI,"Cukrus NS, 1 kg",0.79 €,0.79 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_99271_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_nfT1V5wo8qoFUDrBhvyl.webp?alt=media&token=8d518987-cde8-4365-9be5-c654f634ef69
IKI,"Saulėgrąžų aliejus VILNIUS, 1 l",1.99 €,1.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_4KVMgXTp7xjPb49Knd0O_xGdb10o0VzY1SFD6eDjbpqgxmW02_mZgt4q4T33Goti5SjiDA_thumb.jpg?generation=1679554241707263&alt=media
IKI,"Švieži viščiukų broilerių sparneliai peteliai IKI MĖSA, 500 g",1.99 €,3.98 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_253579_W5RvAbpnRicygag1V4nopPhtD8z2_m24mkfQ16LfQJBF1DhX4.webp?alt=media&token=027de455-9722-432c-9788-2d11d2bd90ad
IKI,"Saldžios grietinėlės DVARO sviestas, 82% rieb., 200 g",2.29 €,11.45 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_lmVpjFvkcT1UBf0xdGtb_CvKfTzV4TN5U8BTMF1Hl_kgpjANKEn1eRogaXoIPCJKbg1243_De3gPldTLpDIIhVaCh2X_thumb.webp?generation=1699346172519838&alt=media
IKI,Mandarinai,1.49 €,1.49 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_Hy7HIb8PQCGqEvATZw8b.jpg?generation=1631695783290806&alt=media
IKI,"Lietuviški ilgavaisiai agurkai, 1 vnt.",0.99 €,0.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_GRiBFOyfPCSIUCn9NLHM_W5RvAbpnRicygag1V4nopPhtD8z2_w3UjMbzk0bxA3YdbtnK6_thumb.jpg?generation=1683626302271763&alt=media
IKI,Kiaulienos sprandinė be kaulo PAGAMINTA IKI,5.35 €,5.35 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_SPJDGmqOPl81KDRI1h6T.jpg?generation=1631695748518638&alt=media
IKI,"Kasdieniai paketai LIBRESSE NORMAL, 20 vnt.",2.51 €,0.13 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_62835_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_T1i93umHOiZKvbDTreTm.webp?alt=media&token=223dcc6f-9cab-4222-9253-e3c95f309633
IKI,"Higieniniai paketai LIBRESSE ULTRA GOODNIGHT, 10 vnt.",1.39 €,0.14 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_pxopCDGzVbfXwooXLsAS_CvKfTzV4TN5U8BTMF1Hl_W5RvAbpnRicygag1V4nopPhtD8z2_FphpUwYQEjEhCYeALvXq_thumb.jpg?generation=1687762522511361&alt=media
IKI,"Higieniniai įklotai LIBRESSE NORMAL MULTI, 40 vnt.",1.67 €,0.04 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_XOfVi4NnG2X4LwN5IlKc_CvKfTzV4TN5U8BTMF1Hl_W5RvAbpnRicygag1V4nopPhtD8z2_0FEPFxfYAKfnjnL6C1VY_thumb.jpg?generation=1687762519730215&alt=media
IKI,ATLANTINES ATVESINTOS LAŠIŠOS SKROSTOS SU GALVA SALMO SALAR,6.99 €,6.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_seLU5eDFSMP2VvZDF0dK_W5RvAbpnRicygag1V4nopPhtD8z2_iXc55jpTNSp6YQTumdop_thumb.jpg?generation=1684847128218862&alt=media
IKI,"Šviežia viščiukų broilerių filė užauginta be antibiotikų, 500 g",4.79 €,9.58 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_273358_uF3DptJQvjXHqmno4Mal_ypG5B2DnLDpYhSsHU6LY.webp?alt=media&token=62e0a675-44bb-45b3-9d08-85efe442f635
IKI,Sveriamos bulvės CLEVER,0.19 €,0.19 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_zlyd0ZGFLdmyu8brBFh2.jpg?generation=1582208339280093&alt=media
IKI,Plautos morkos CLEVER,0.39 €,0.39 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_0SFs93BQwFn5k23gDvll.jpg?generation=1631004429577083&alt=media
IKI,"Prieskoniai karštam vynui SALDVA, 40 g",0.89 €,22.25 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_WXQQlsmtXJSsK7dNOkAV_xGdb10o0VzY1SFD6eDjbpqgxmW02_0cRA1se5u5pIG5LrA2Rb_thumb.jpg?generation=1675259625264100&alt=media
IKI,"Saulėgrąžų aliejus OBELIŲ, 900 ml",2.27 €,2.52 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_XHgViZ72APG7E9pVov3b.jpg?generation=1631696104597367&alt=media
IKI,"Vynuoginiai slyviniai pomidoriukai BON VIA, 250 g",0.79 €,3.16 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2500_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_7s3Qw4RkElspXmPPv5tU.webp?alt=media&token=39056a4f-8fca-4412-9d26-dff8ef643e42
IKI,"Besėklės žaliosios vynuogės, 500 g",2.49 €,4.98 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_hcmNGxBKsp0jcdhciqfK.jpg?generation=1654374772066054&alt=media
IKI,"Sunokę avokadai BEST CHOICE, 2 vnt.",1.24 €,0.62 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_vrwQMaUbzHi4EB5CyXNR.jpg?generation=1643184103000986&alt=media
IKI,Sveriami obuoliai RAUDONIEJI,0.79 €,0.79 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_hEyrjLkWqfDN7Ce8b3K5.jpg?generation=1589636330241009&alt=media
