"shop_name","product_name","shelf_price","image_url"
"Lidl","Favorina Marcipaninis pyragas","4.69","https://imgproxy-retcat.assets.schwarz/0dN8gvtSghzpYTgSM4k6_X3AATC4LUF-09xCSBYj4ts/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0MwQTQ3Qzg4MDc0NEJFMEUzNDFBQTg1RD/RDOUI5MzhFQzJEQkY5OUJEODRCODQ0OTUxOEI2NUYzMDlDRkU2NTAucG5n.png"
"Lidl","Favorina Mini breceliai šokolade","4.49","https://imgproxy-retcat.assets.schwarz/MZnXRANa2ZS7yW0wgordOtt61Gn1J7ZNaHfCeSMsKDY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0M3QkJBNkI4MDI5QzUwM0EzNzQyRjY3ND/Q2Q0Q4OUQyNTIxN0FFQjg0OTAxRTNFMUMwOTNGNzFCRUQxOEU1MUIucG5n.png"
"Lidl","Favorina Sviestiniai sausainiai","2.29","https://imgproxy-retcat.assets.schwarz/RwcDPDEeUDuIJaBysIK6RTugLjZlZ73a2sePum7Ajes/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0M3MzQ1Q0UzRTQ2RDVFMzVGODlBQjc3ME/RENDg4QjQ5MzFGNDg5RUM4MUU3NzE0NjZGQkY3NDc2NDIxQUJCOUEucG5n.png"
"Lidl","Favorina „Spekulatius“ migdoliniai sausainiai","1.99","https://imgproxy-retcat.assets.schwarz/vHpzetu_RuWAv-nI_uOO5b3W3-w7ADe2sjV3jup5-KE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzE5MThFNkIxNUE4ODY3MDM4OTkwQzEwNz/c3NDQ4M0E0ODlCMUE0NzBCMERFMjUxRUU0NUQ5MkVENzQ3NUFGODgucG5n.png"
"Lidl","Favorina Trapios tešlos biskvitas su pieniniu šokoladu ir prieskoniais","2.29","https://imgproxy-retcat.assets.schwarz/X5W41a7VhqbeIVzHhg6QJLHAbIpE7q0tMzS9IeGpX0o/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzA4RDU1MTZEMzczQUI5N0ZBOUQ2QjhDQU/YxNTE4ODRBOTYzNzAyOTQwNzhCMzNEQUMzOEQzQ0ZFQjcxMDE3RjgucG5n.png"
"Lidl","Favorina Meduoliai","1.99","https://imgproxy-retcat.assets.schwarz/UTqTQAkKtogYjp2ftAGfd7fe5QwgutlWEhr2LnDaqjI/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzY5RUU5RTFCOUE4MDI4QTVGMDRFNkY0Qz/MyM0UxRTQ2ODk4NUY4MTFGQ0M3OThBNDU1NzkzMDVFM0NCQkRFREQucG5n.png"
"Lidl","Favorina Sausainiai su prieskoniais","1.99","https://imgproxy-retcat.assets.schwarz/dPUPoXeBgfdNa8sz20P0UqvwNY3XcXlOVomJ89Ikh7Y/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzAxREMxNTdCMTYzMjk5MzQzOUY2REUwMj/kxODlEQkM3NDY3M0M4MkExNDJDQzVBNDY4RjY1QzgxMjZBOTAwM0YucG5n.png"
"Lidl","Favorina Saldainiai „Dominos“","2.99","https://imgproxy-retcat.assets.schwarz/f-P2KIJ25LmVWPxb4iLuV51gsIzT2AwPFWdNJIeEkcc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0REN0VBODM5ODY1MUU4QkZBRDVFRjlCQj/k1RTQyNDM2QUQ3MTc1Mjk0ODI1QUYzQTQ0NTk4NjNDMjY0OTUxNjMucG5n.png"
"Lidl","Favorina Florentinai su migdolais","3.49","https://imgproxy-retcat.assets.schwarz/FSHgXfygV0TtEfJ-49dsxGmwAXx1RTGTMj84tRmc4rY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NDNUE2RDFGREE4MjY4MTQzRkRCODBBQU/ExQTM5QUIxRjhBMDdCNEIxMzBDMkVENEMxOUIxQTlDRjdCMzJFODIucG5n.png"
"Lidl","Favorina Trapios tešlos sausainiai","4.49","https://imgproxy-retcat.assets.schwarz/DPapU9n88pHQFKXJN8Sn5umPDthCfiOL34orKDQnEKE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0REODY2OTVEMDIzMDk1QTJDN0JDNUZFQj/BEQTBCMjU4QTA3MUQ5QjgxRjc1RkYzQkMyNTlENkY3MTY0NDkwRjMucG5n.png"
