shop_name,product_name,shelf_price,image_url
Rimi,"Persimonai, 1 kg",3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_224573_KGM_LT"
Rimi,"Brokolis RIMI, 350 g",0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_978280_PCE_LT"
Rimi,"Ilgavaisis agurkas RIMI, 300g",1.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_815307_PCE_LT"
Rimi,"Mažieji slyviniai pomidorai 1kl, 250 g",0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_296781_PCE_LT"
Rimi,"Salierų stiebai RIMI, 450 g",1.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297913_PCE_LT"
Rimi,"Kokteiliniai pomidorai su šakel., 1 kl. 500 g",1.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_277348_PCE_LT"
Rimi,"Didelis avokadas SELECTION BY RIMI, 1 vnt",2.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_905518_PCE_LT"
Rimi,"Greitai užšaldyti žirneliai RIMI, 400 g",1.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808614_PCE_LT"
Rimi,"Nat.negaz. mineralinis vanduo, AKVILĖ, 2l",0.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_1359662_PCE_LT"
Rimi,"Pjaustytos žal. šparaginės pupelės RIMI, 400g",1.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808637_PCE_LT"
Rimi,"Šilauogės RIMI, 400 g",4.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_974977_PCE_LT"
Rimi,"Šaldytos figūrinės bulvių lazdelės RIMI, 1 kg",1.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811419_PCE_LT"
Rimi,"Kvietinės tortilijos RIMI PLANET, 370 g",1.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_808707_PCE_LT"
Rimi,"Sūdyta ir pjaustyta lašišos filė ZIGMAS, 100g",3.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_248890_PCE_LT"
Rimi,Pusilgiai agurkai Rimi 400g,1.89,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_996395_PCE_LT"
Rimi,"Plauti špinatai FIT&EASY, 100g",1.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_150/d_ecommerce:backend-fallback.png/MAT_988169_PCE_LT"
Rimi,"Šaldytos braškės RIMI, 400 g",1.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_811670_PCE_LT"
Rimi,"Natūralus DVARO pienas, 3,5 % rieb., 1 l",1.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_212915_PCE_LT"
